4DG3E -1.0 -1.0
5X3FB -1.0 -1.0
6C0UA -1.0 -1.0
3L9NA -1.0 -1.0
3L9MB -1.0 -1.0
3L9MA -1.0 -1.0
2GNLA -1.0 -1.0
2GNJA -1.0 -1.0
5N23A -1.0 -1.0
4DFYE 10.0 10.0
4DFYA 12.0 12.0
4Z84A -1.0 -1.0
5KZ8B 16.0 16.0
5KZ8A 14.0 14.0
5KZ7B 16.0 16.0
5KZ7A 16.0 16.0
1ZMWB 13.0 -1.0
1ZMWA 13.0 -1.0
1Y8GB 13.0 -1.0
1Y8GA 13.0 -1.0
1XH9A -1.0 -1.0
3VQHA -1.0 -1.0
5UZKA -1.0 -1.0
4UJBA -1.0 -1.0
4UJAA -1.0 -1.0
4UJ9A 1.0 1.0
4UJ2A -1.0 -1.0
4UJ1A -1.0 -1.0
6QJ7A -1.0 -1.0
3POOA -1.0 -1.0
3P0MA -1.0 -1.0
3OXTA -1.0 -1.0
3OWPA -1.0 -1.0
3OVVA -1.0 -1.0
3OOGA -1.0 -1.0
3L9LB -1.0 -1.0
3L9LA -1.0 -1.0
5J5XA -1.0 -1.0
5IZJB -1.0 -1.0
5IZJA -1.0 -1.0
5IZFA -1.0 -1.0
5BX7A -1.0 -1.0
5BX6A -1.0 -1.0
3AGMA -1.0 -1.0
3AGLB -1.0 -1.0
3AGLA -1.0 -1.0
4FIEB -1.0 -1.0
4FIEA -1.0 -1.0
4Z83E -1.0 -1.0
1SZMB 0.0 -1.0
1SZMA -1.0 -1.0
1Q61A -1.0 -1.0
2H6DA 13.0 13.0
1CTPE -1.0 -1.0
5UPLA -1.0 -1.0
3ZO4A -1.0 -1.0
3ZO3A -1.0 -1.0
3ZO2A -1.0 -1.0
3ZO1A -1.0 -1.0
2VO7A -1.0 -1.0
5VIBA -1.0 -1.0
5VI9A -1.0 -1.0
5VHBA -1.0 -1.0
2OJFE -1.0 -1.0
2OH0E -1.0 -1.0
2JDSA -1.0 -1.0
4IE9A -1.0 -1.0
2F7ZE -1.0 -1.0
2F7XE -1.0 -1.0
2F7EE -1.0 -1.0
6E9LA -1.0 -1.0
6E99A -1.0 -1.0
2C1BA -1.0 -1.0
2C1AA -1.0 -1.0
3AG9B -1.0 -1.0
3AG9A -1.0 -1.0
1CMKE -1.0 -1.0
1CDKB -1.0 -1.0
1CDKA -1.0 -1.0
1ZMVB 18.0 -1.0
1ZMVA 18.0 -1.0
3NX8A -1.0 -1.0
4WB6B -1.0 -1.0
4WB6A -1.0 -1.0
4WB5A -1.0 -1.0
6NO7G -1.0 -1.0
6NO7E -1.0 -1.0
6NO7C -1.0 -1.0
6NO7A -1.0 -1.0
6BYSG -1.0 -1.0
